Date,DEQ,DEQ_Inv,Bench,SPX,SPXT,BE500,BE500T
31.07.1998,0,0,0,-0.01969,-0.01969,-0.00902,-0.009
03.08.1998,0,0,0,-0.00737,-0.00734,-0.01194,-0.01158
04.08.1998,0,0,0,-0.03692,-0.03689,-0.00593,-0.00593
05.08.1998,0,0,0,0.008646,0.008787,-0.02052,-0.02052
06.08.1998,0,0,0,0.007554,0.007641,-0.01103,-0.01102
07.08.1998,0,0,0,-0.00017,-0.00016,0.013556,0.013556
10.08.1998,0,0,0,-0.00581,-0.00575,-0.0168,-0.01614
11.08.1998,0,0,0,-0.01316,-0.01296,-0.0303,-0.0303
12.08.1998,0,0,0,0.014156,0.014342,0.013414,0.013414
13.08.1998,0,0,0,-0.00862,-0.0086,-0.00729,-0.00729
14.08.1998,0,0,0,-0.01138,-0.01133,0.013731,0.013731
17.08.1998,0,0,0,0.019494,0.019523,-0.00344,-0.00288
18.08.1998,0,0,0,0.016047,0.016149,0.029331,0.029331
19.08.1998,0,0,0,-0.00286,-0.00279,0.005658,0.005659
20.08.1998,0,0,0,-0.0059,-0.00584,-0.00959,-0.00959
21.08.1998,0,0,0,-0.00954,-0.00952,-0.03609,-0.03601
24.08.1998,0,0,0,0.006361,0.006366,0.001614,0.001771
25.08.1998,0,0,0,0.004319,0.004322,0.020255,0.020255
26.08.1998,0,0,0,-0.00796,-0.00788,-0.02308,-0.02308
27.08.1998,0,0,0,-0.03913,-0.03903,-0.03623,-0.03623
28.08.1998,0,0,0,-0.01493,-0.01478,-0.01857,-0.01855
31.08.1998,0,0,0,-0.07044,-0.07042,-0.01208,-0.01196
01.09.1998,0,0,0,0.037903,0.037945,-0.01415,-0.0141
02.09.1998,0,0,0,-0.00382,-0.00358,0.021418,0.021428
03.09.1998,0,0,0,-0.00832,-0.0083,-0.02306,-0.02303
04.09.1998,0,0,0,-0.00856,-0.00851,0.004874,0.004874
07.09.1998,0,0,0,0,0,0,0
08.09.1998,0,0,0,0.049646,0.049704,0.041047,0.041047
09.09.1998,0,0,0,-0.01701,-0.01695,-0.01484,-0.01484
10.09.1998,0,0,0,-0.02619,-0.02617,-0.0454,-0.0454
11.09.1998,0,0,0,0.029028,0.029317,-0.00441,-0.00441
14.09.1998,0,0,0,0.020268,0.020462,0.027692,0.028091
15.09.1998,0,0,0,0.007701,0.007707,-0.00644,-0.00644
16.09.1998,0,0,0,0.007489,0.007557,0.00742,0.007419
17.09.1998,0,0,0,-0.02578,-0.02571,-0.03856,-0.03856
18.09.1998,0,0,0,0.001197,0.001201,-0.01462,-0.01462
21.09.1998,0,0,0,0.003718,0.003739,-0.03227,-0.03207
22.09.1998,0,0,0,0.00559,0.005593,0.01871,0.01871
23.09.1998,0,0,0,0.034798,0.034831,0.025472,0.025472
24.09.1998,0,0,0,-0.02217,-0.02216,-0.00836,-0.00836
25.09.1998,0,0,0,0.001945,0.001945,-0.02002,-0.02002
28.09.1998,0,0,0,0.003764,0.004078,0.017847,0.01818
29.09.1998,0,0,0,0.000315,0.000332,-0.00563,-0.00563
30.09.1998,0,0,0,-0.03099,-0.03093,-0.0253,-0.0253
01.10.1998,0,0,0,-0.03057,-0.03055,-0.0469,-0.04689
02.10.1998,0,0,0,0.0163,0.016355,-0.02621,-0.02618
05.10.1998,0,0,0,-0.0141,-0.0141,-0.02861,-0.02842
06.10.1998,0,0,0,-0.00402,-0.00397,0.043926,0.043926
07.10.1998,0,0,0,-0.01423,-0.01393,-0.01063,-0.01063
