Date,NAV,NAVexCash,%NeC,NAVexAll,%NeA,Perf,PerfExCash,PerfExAll
01.09.2015,29897441.44,28139209.78,0.941191233,28279590.27,0.945886635,-0.029720269,-0.03144656,-0.03124938
02.09.2015,30152540.06,28373254.11,0.940990512,28519247.41,0.945832336,0.008424832,0.008934046,0.009088173
03.09.2015,30724101.14,28935145.15,0.941773529,29083794.87,0.946611741,0.018887018,0.019903312,0.019894569
04.09.2015,30025186.54,28249247.36,0.940851685,28401411.46,0.945919567,-0.022767843,-0.024112281,-0.023868204
07.09.2015,30020117.54,28242916.57,0.940799666,28401265.6,0.94607443,-1.66E-05,-1.06E-06,0.00021671
08.09.2015,30572902.08,28772918.78,0.941124879,28932815.36,0.946354889,0.018211018,0.01933473,0.01928142
09.09.2015,30601339.1,28809267.42,0.941438129,28972139.53,0.946760514,0.000958484,0.000984346,0.001081749
10.09.2015,30436375.41,28603245.15,0.939771729,28767527.25,0.945169287,-0.005947123,-0.0062723,-0.006188372
11.09.2015,30203633.44,28362065.85,0.939028276,28531268.16,0.944630328,-0.007576744,-0.007934881,-0.007718534
14.09.2015,30062653.02,28221607.3,0.938759706,28390799.1,0.944387679,-0.004782463,-0.005074791,-0.005045064
15.09.2015,30323575.38,28560239.53,0.941849343,28735544.75,0.947630495,0.011598721,0.01235306,0.012494774
16.09.2015,30716244.39,28955713.96,0.94268406,29134792.47,0.948514151,0.013476398,0.014237351,0.014281805
17.09.2015,30504457.05,28749054.05,0.942454213,28930469.58,0.948401394,-0.007080657,-0.007489149,-0.007362902
18.09.2015,29813163.02,28075452.08,0.941713298,28258732.79,0.947860942,-0.022275652,-0.023571825,-0.023359541
21.09.2015,30079858.28,28329871.74,0.941821982,28518127.43,0.948080512,0.008603581,0.008897432,0.009015775
22.09.2015,29398253.7,27661875.04,0.940935993,27851662.06,0.947391717,-0.022474107,-0.023873985,-0.023662689
23.09.2015,29252876.49,27518951.48,0.940726342,27712110.1,0.947329406,-0.005061516,-0.005276743,-0.00511973
24.09.2015,28654816.49,26931166.41,0.939847806,27125306.24,0.946622926,-0.020503034,-0.021579434,-0.021393614
25.09.2015,29083901.82,27355811.67,0.940582589,27552510.41,0.947345737,0.015044364,0.015877228,0.01585793
28.09.2015,28406280.71,26693491.24,0.939703846,26896384.66,0.946846401,-0.023386197,-0.02481111,-0.02440915
29.09.2015,28440541.61,26741536.98,0.940261172,26945807.16,0.947443531,0.00180911,0.001974808,0.002011099
30.09.2015,29235488.36,27516992.51,0.941218842,27724603.59,0.94832018,0.028050988,0.029737844,0.029636394
01.10.2015,29038946.63,27313801.62,0.940592025,27523333.52,0.947807573,-0.006860977,-0.007228989,-0.007105573
02.10.2015,29327572.98,27593210.57,0.940862396,27804006.43,0.94805003,0.009945058,0.010662648,0.010627398
05.10.2015,30218536.08,28466175.34,0.942010403,28681623.8,0.949140082,0.030409709,0.032231143,0.032154119
06.10.2015,30232598.87,28631342.95,0.947035453,28848172.41,0.954207494,0.005342778,0.005731836,0.005736929
07.10.2015,30661792.19,28986000.62,0.945345935,29206111.35,0.9525246,0.012132661,0.012702854,0.012721119
08.10.2015,30876466.14,29189051.35,0.945349484,29410591.08,0.95252452,0.007061312,0.007550283,0.007542309
09.10.2015,30813287.92,28435079.2,0.922818729,28657918.1,0.930050638,-0.00188649,-0.001865055,-0.001806833
12.10.2015,30690500.21,28513487.58,0.929065587,28740837.81,0.936473424,-0.004001049,-0.004343911,-0.004152713
13.10.2015,29968286.29,27959447.16,0.932967835,28188284.23,0.940603809,-0.012075739,-0.01279407,-0.012641131
14.10.2015,29814036.3,27804605.07,0.932601168,28034736.65,0.940320068,-0.005204558,-0.005754576,-0.005661936
15.10.2015,30079951.83,28038663.27,0.932137905,28271167.22,0.939867437,0.008992237,0.009449368,0.009456423
16.10.2015,30606104.19,28061906.47,0.916872866,28295980.65,0.924520824,0.000832024,0.000890613,0.00093883
19.10.2015,29968008.7,28098680.05,0.937622527,28337463.54,0.945590474,0.0013958,0.001259358,0.00141537
20.10.2015,29877602.56,28024932.12,0.937991328,28265104.52,0.946029872,-0.002663056,-0.002712676,-0.002640804
21.10.2015,29903382.54,28055271.35,0.938197253,28297785.5,0.946307177,0.0007617,0.000858505,0.000934059
22.10.2015,30834115.14,28935875.32,0.938437026,29180591.36,0.946373562,0.031278558,0.032823558,0.032620069
23.10.2015,31587162.48,29727368.21,0.941121832,29974127.92,0.948933857,0.024200545,0.025479544,0.025335901
26.10.2015,31391027.13,29532232.7,0.940785804,29783545.45,0.948791683,-0.006162265,-0.006508975,-0.006303491
27.10.2015,31204803.87,29350630.9,0.940580528,29603505.13,0.948684223,-0.005959256,-0.006246801,-0.006141663
28.10.2015,31585667.81,29721031.65,0.940965752,29975468.98,0.949021219,0.012363107,0.013168163,0.013108481
29.10.2015,31687304.87,29808934.83,0.940721685,30065324.05,0.948812913,0.003097865,0.003023247,0.003062702
30.10.2015,31636743.51,29762767.33,0.940765832,30020492.96,0.948912234,-0.001541232,-0.001647118,-0.001588622
02.11.2015,31947547.02,30061756.54,0.940972292,30326344.65,0.949254246,0.009767488,0.010390045,0.01052944
03.11.2015,32254492.39,30411068.56,0.942847533,30678356.6,0.951134379,0.011223175,0.011722438,0.011709192
04.11.2015,32415807.7,30545445.51,0.942300923,30816047.2,0.950648754,0.005151719,0.00520542,0.00526808
05.11.2015,32156931.72,30289135.03,0.941916203,30561302.34,0.950379924,-0.00803922,-0.008285767,-0.008162203
06.11.2015,32413852.86,30542760.06,0.942274903,30817029.37,0.950736387,0.00799589,0.008391065,0.008385118
09.11.2015,31886386.09,30196307.79,0.946996869,30475320.97,0.955747098,-0.010923275,-0.011629267,-0.011371831
10.11.2015,32791478.42,30213816.61,0.921392327,30494728.63,0.929958944,0.000977549,0.00085616,0.000910629
11.11.2015,32657067.44,30078302.65,0.921035016,30359069.96,0.92963246,-0.004354217,-0.004762288,-0.004723164
12.11.2015,32105676.88,29536487.33,0.919977094,29820329.91,0.928817979,-0.016760159,-0.018118943,-0.017850078
13.11.2015,31878857.61,29410840.16,0.922581371,29697324.04,0.931568013,-0.004050098,-0.004463237,-0.004332181
16.11.2015,32193898.88,30031129.39,0.932820517,30322498.68,0.941870967,0.010091496,0.010877515,0.010937089
17.11.2015,32691168.7,30506769.46,0.933180754,30800972.11,0.942180207,0.015416079,0.016271858,0.016208943
18.11.2015,32889576.15,30703908.61,0.933545281,30999803.3,0.942541891,0.006061073,0.00645329,0.006446585
19.11.2015,32839304.98,30643671.29,0.933140068,30940856.23,0.94218974,-0.001491956,-0.001501566,-0.001445613
20.11.2015,33061290.53,30860882.6,0.933444585,31159992.01,0.942491703,0.006761976,0.007202246,0.007195267
23.11.2015,33024058.24,30817214.02,0.933174651,31126465.18,0.942539071,-0.001322604,-0.001417831,-0.001078748
24.11.2015,32912555.02,30711901.62,0.933136355,31022698.48,0.942579464,-0.003299725,-0.003338774,-0.003255943
25.11.2015,33208514.85,31001925.72,0.933553514,31314656.34,0.942970695,0.008874533,0.009338549,0.009307326
26.11.2015,33291103.49,31080396.58,0.933594664,31394713.09,0.943036121,0.002561266,0.002693648,0.002717392
